zhihu | 知乎
1. 大学生理发被收 1 万元，理发店称所有项目明码标价，能作为免责理由吗？消费者面对这种情况该如何维权？ [URL:https://www.zhihu.com/question/1975862881565295598]
2. 老人偷偷剃光孩子胎发，宝妈崩溃大哭，「不剃胎发易生病、剃胎发会让发质更好」这种习俗说法有科学依据吗？ [URL:https://www.zhihu.com/question/1976768356322338301]
3. 天文摄影师拍下人类坠入太阳图片，这是如何做到的？还能在什么位置跳跃可以实现？ [URL:https://www.zhihu.com/question/1974637719780081823]
4. 四川美术学院和四川外国语大学为什么不更改校名中的「四川」二字？ [URL:https://www.zhihu.com/question/50418920]
5. 相比始祖鸟「喜马拉雅升龙」事件，「环保少女」用荧光追踪剂染绿威尼斯运河的危害，是更大还是更小？ [URL:https://www.zhihu.com/question/1977119105153725793]
6. 如果可以看完一个作家的所有书，你推荐谁？ [URL:https://www.zhihu.com/question/11573727782]
7. 有哪些好吃的蘑菇做法分享呢？ [URL:https://www.zhihu.com/question/1706216035]
8. 杨过对父亲之死念念不忘，为什么对母亲穆念慈却不闻不问？ [URL:https://www.zhihu.com/question/536524255]
9. 为什么我们穿的都是塑料？ [URL:https://www.zhihu.com/question/1975144793609879746]
10. 如何看待阿里最新财报，闪购营销费用增加 300 多亿收入却仅增 80 多亿，核心电商持续被抖音和拼多多赶超？ [URL:https://www.zhihu.com/question/1977091164105638048]
11. 同事请下午茶没带你，说「不好意思，点的时候忘了你」，你会怎么回？ [URL:https://www.zhihu.com/question/1967536195916497780]
12. 你觉得「做游戏其实就是一言堂」这句话算是准确的吗？ [URL:https://www.zhihu.com/question/1974122449852441952]
13. 提到你的父亲你首先想起来的是什么？ [URL:https://www.zhihu.com/question/1917386985624045445]
14. 如何看待大学里那些像高中那样拼命读书的人？ [URL:https://www.zhihu.com/question/39657141]
15. 如何评价《星布谷地》一测玩家可选择让娜洛保留这段「因你而在的故事」？ [URL:https://www.zhihu.com/question/1977110169369474024]
16. 一直搞不明白唱歌用丹田发力是什么意思，难道嗓子就不用力吗？ [URL:https://www.zhihu.com/question/31029949]
17. 请问年轻公务员适合看什么书？ [URL:https://www.zhihu.com/question/271395288]
18. 拥有一辆车，能给你的生活带来什么样的美好体验？ [URL:https://www.zhihu.com/question/552538031]
19. 如何评价《超英派遣中心》的角色隐身女？ [URL:https://www.zhihu.com/question/1972813180427322070]
20. 香港大埔火灾救援人员在楼内找到生还者，目前获救者情况如何？现场救援难度有多大？ [URL:https://www.zhihu.com/question/1977387556279706656]

